,dataset,model,f1
0,ArrowHead,fc,0.5857070134082053
1,ArrowHead,model_contrastive,0.5813841389336225
2,ArrowHead,model_s,0.6027641167789312
3,ArrowHead,model_xs,0.5945713385222978
4,ArrowHead,sax,0.6126276388906349
5,Plane,fc,0.9542307207705234
6,Plane,model_contrastive,0.963241216579376
7,Plane,model_s,0.9327870029865174
8,Plane,model_xs,0.9305907627948026
9,Plane,sax,0.9374364279148238
10,Rock,fc,0.6195950580749174
11,Rock,model_contrastive,0.648756390152371
12,Rock,model_s,0.6920986207377335
13,Rock,model_xs,0.5982920536635706
14,Rock,sax,0.4130960548885077
15,Wine,fc,0.5730686452439415
16,Wine,model_contrastive,0.581033521938721
17,Wine,model_s,0.46324246372311056
18,Wine,model_xs,0.38708414872798436
19,Wine,sax,0.5230203457131928
